NOME,MISSÃO,MATERIAL NECESSÁRIO,CRIANÇA FAZ,MÃE FAZ,INTERAÇÃO,TEMPO,NÍVEL 1 (INICIANTE),NÍVEL 2 (AVANÇADO),ESPAÇO
Cadeirinha Invisível,"Sentar na cadeirinha invisível para descansar na floresta, sem deixar ela quebrar!",Nenhum,"Imita a mãe, tentando sentar na sua própria cadeirinha imaginária.","Agachamento clássico, com pés na largura dos ombros.","Contam juntos ""1, 2, 3"" antes de levantar da cadeirinha.",2 min,Agachamento parcial (movimento mais curto).,Agachamento completo (quadril abaixo da linha dos joelhos).,✔️ Pequeno / ✔️ Grande
Passo do Caranguejo,Andar de lado como um caranguejo para fugir da onda do mar!,Nenhum,"Imita um caranguejo, andando de lado com as pernas abertas.","Agachamento sumô (pernas bem afastadas, pontas dos pés para fora).","Fazem o som do caranguejo (""ploc, ploc"") juntos enquanto se movem.",2 min,Fazer o agachamento com amplitude menor.,"Agachar até a amplitude máxima, segurando 1 segundo embaixo.",✔️ Pequeno / ✔️ Grande
Passo Silencioso,Dar um passo para trás bem devagar para não assustar o passarinho.,Nenhum,"Tenta imitar o passo para trás da mãe, focando no equilíbrio.","Afundo Reverso (passo para trás, flexionando os joelhos).","Ambos fazem o sinal de ""shhh"" com o dedo na boca a cada passo.",2 min,"Passo curto, com pouca descida do joelho.","Passo longo, quase tocando o joelho de trás no chão.",✔️ Pequeno / ✔️ Grande
Reverência do Rei,Fazer a reverência (cumprimento) para o rei e a rainha do castelo.,Nenhum,"Inclina o tronco para frente, imitando um cumprimento real.","Exercício ""Bom Dia"" (inclinação de tronco com costas retas).","Um é o rei/rainha e o outro faz a reverência, depois trocam os papéis.",2 min,"Inclinação curta, com a mão na lombar para garantir a postura.",Inclinação até o tronco ficar quase paralelo ao chão.,✔️ Pequeno / ✔️ Grande
Ponte Levadiça,Levantar a ponte bem alto para os barquinhos passarem por baixo!,Tapete,Passa por baixo do quadril da mãe com um carrinho ou engatinhando.,"Elevação pélvica, deitada de barriga para cima.","A criança avisa ""Barquinho vindo!"" e a mãe tem que subir a ponte.",2-3 min,Subir e descer devagar.,"Segurar 3 segundos no topo, contraindo forte o glúteo.",✔️ Pequeno / ✔️ Grande
Escada Mágica,"Subir a escada mágica, degrau por degrau, para alcançar o topo da torre.",Cadeira firme ou degrau para a mãe; almofada para a criança.,Sobe e desce da almofada ou de um degrau baixo.,"Step-Up na cadeira, alternando as pernas.","Contam os ""degraus"" juntos a cada subida.",2-3 min,Usar um apoio mais baixo (um livro grosso).,Fazer o movimento sem apoiar as mãos em nada.,✔️ Pequeno / ✔️ Grande
Pega-Pega Lateral,Desviar de um lado para o outro para não ser pego na brincadeira!,Nenhum,Corre de um lado para o outro.,"Afundo Lateral, alternando os lados.","A mãe tenta ""pegar"" a criança ao se mover para o lado dela.",2 min,Dar um passo lateral e agachar pouco.,Agachar o máximo possível na lateral.,✔️ Pequeno / ✔️ Grande
Ponta do Pé Curiosa,Ficar na ponta do pé para conseguir espiar por cima do muro!,Nenhum,"Fica na ponta dos pés, tentando ver algo longe.","Elevação de Panturrilha, em pé.","A cada subida, um dos dois diz o que ""viu"" do outro lado do muro.",2 min,Fazer o movimento livre.,Segurar 2 segundos na posição mais alta.,✔️ Pequeno / ✔️ Grande
Muro do Castelo,Segurar o muro do castelo com as costas para ele não cair!,Parede livre,"Tenta ""empurrar"" os joelhos da mãe (de leve) para testar a força do muro.",Agachamento Isométrico na parede.,"A criança é o ""dragão"" que testa a força do muro.",30-45s,Posição mais alta (joelhos menos flexionados).,Posição a 90 graus (como se estivesse sentada).,✔️ Pequeno / ✔️ Grande
Cachorrinho no Poste,Imitar o cachorrinho feliz que levanta a patinha no poste!,Tapete,"Em quatro apoios, imita o cachorrinho.","Exercício ""Hidrante"" (elevação lateral de perna).","Fazem o som do cachorrinho (""au au!"") e trocam de ""patinha"" (perna) juntos.",2 min,Movimento com amplitude curta.,Segurar 2 segundos na posição mais alta.,✔️ Pequeno / ✔️ Grande
Coice de Cavalinho,Ser um cavalinho forte e dar um coice para o céu!,Tapete,"Em quatro apoios, imita o coice.",Elevação de perna em quatro apoios (coice de glúteo).,Relincham como cavalinhos a cada coice.,2 min,Movimento lento e controlado.,Pulsar 3 vezes no topo antes de descer a perna.,✔️ Pequeno / ✔️ Grande
Ponte de Uma Perna Só,Levantar a ponte usando a super-força de uma perna só!,Tapete,"Tenta se equilibrar em um pé só, imitando a mãe.",Elevação pélvica unilateral.,"A criança ajuda a contar quantas vezes a ""ponte forte"" sobe.",2 min,"Manter a perna elevada flexionada, em vez de esticada.",Manter o quadril perfeitamente alinhado.,✔️ Pequeno / ✔️ Grande
Pedalando na Floresta,Pedalar nossa bicicleta imaginária bem rápido para fugir do lobo!,Tapete,"Deitada, imita o movimento de pedalar no ar.",Abdominal bicicleta clássico.,"A mãe narra a perseguição: ""Mais rápido, o lobo está chegando!"".",2 min,Fazer o movimento com os pés mais altos e ritmo lento.,Fazer o movimento com as pernas mais próximas ao chão.,✔️ Pequeno / ✔️ Grande
Barquinho no Rio,Remar nosso barquinho para chegar na cachoeira secreta!,Tapete,Pula por cima das pernas da mãe cada vez que elas se esticam.,Abdominal remador.,"A mãe avisa ""Cuidado com a onda!"" quando a criança precisa pular.",2 min,Fazer o movimento com os joelhos sempre um pouco flexionados.,Esticar completamente braços e pernas.,✔️ Pequeno / ✔️ Grande
Escalando a Montanha,Escalar a montanha de gelo para chegar ao topo!,Cadeira firme ou sofá.,Imita o movimento de escalada em pé ou no chão.,Escalador (mountain climber) com mãos apoiadas na cadeira.,"Contam juntos cada ""passo"" na escalada.",2 min,Movimento lento e controlado.,"Aumentar a velocidade, como se estivesse correndo.",✔️ Pequeno / ✔️ Grande
Robô Giratório,Virar um robô que olha para todos os lados para vigiar o laboratório!,Nenhum,"Imita o robô, girando o tronco de um lado para o outro.",Rotação de tronco em pé com elevação de joelho.,"Fazem sons de robô (""bip, bop"") a cada rotação.",2 min,Fazer o movimento sem elevar muito o joelho.,Tocar o cotovelo no joelho oposto.,✔️ Pequeno / ✔️ Grande
Caranguejo Pega-Estrela,Ser um caranguejo que estica a patinha para pegar as estrelas do fundo do mar!,Tapete,Anda pela sala como um caranguejo (ponte invertida).,"Em posição de ponte invertida, toca a mão no pé oposto.","Competem para ver quem ""pega mais estrelas"".",2 min,"Apenas levantar a mão, sem tentar tocar no pé.",Tocar a ponta do pé a cada repetição.,✔️ Pequeno / ✔️ Grande
Super-Herói Voador,"Voar como um super-herói, esticando braço e perna para ganhar velocidade!",Tapete,Imita um super-herói voando.,"Perdigueiro (em 4 apoios, estende braço e perna opostos).",A mãe narra a aventura do voo sobre a cidade.,2 min,Levantar apenas um membro de cada vez.,Segurar a posição por 3 segundos de cada lado.,✔️ Pequeno / ✔️ Grande
Limpador de Para-brisa,Limpar o vidro do carro para podermos ver a chuva indo embora!,Tapete,Imita o movimento do limpador com os braços.,"Deitada, deixa os joelhos flexionados caírem para cada lado.","A criança comanda a velocidade do ""limpador"".",2 min,Manter os pés apoiados no chão durante o movimento.,Fazer com os pés elevados.,✔️ Pequeno / ✔️ Grande
Estrela do Mar,Ficar firme como uma estrela do mar no fundo do oceano!,Tapete,"Deita no chão e se estica, imitando uma estrela do mar.","Prancha Lateral, apoiada no cotovelo.","A criança pode fazer cócegas na ""estrela do mar"" (mãe).",2 min,Prancha lateral com os joelhos apoiados no chão.,Prancha lateral completa.,✔️ Pequeno / ✔️ Grande
Túnel Infinito,Manter o túnel firme para o trem passar sem bater!,Tapete,Engatinha por baixo do corpo da mãe.,Posição de Prancha Alta (mãos no chão).,"A mãe faz o som do apito do trem (""piuííí!"") para a criança passar.",2 min,Prancha Alta com os joelhos apoiados no chão.,Prancha Alta completa.,✔️ Pequeno / ✔️ Grande
Caverna do Urso,Andar como um urso forte e pesado dentro da sua caverna.,Nenhum,"Anda em quatro apoios (mãos e pés no chão), imitando um urso.","Posição de ""Urso"" Isométrica (joelhos flutuando).","Ambos andam pela ""caverna"", fazendo sons de urso.",2 min,Manter a posição parada (isometria).,Dar pequenos passos para frente e para trás na posição.,✔️ Pequeno / ✔️ Grande
Empurra o Castelo,Usar nossa super-força para empurrar o portão pesado do castelo!,Parede ou sofá firme,"""Ajuda"" a empurrar a parede ao lado da mãe.",Flexão inclinada na parede ou sofá.,"A criança dá o comando ""Agora!"" e ambas empurram juntas.",2 min,"Fazer na parede, com o corpo mais em pé.","Fazer no sofá, com o corpo mais inclinado.",✔️ Pequeno / ✔️ Grande
Cabo de Guerra do Abraço,Puxar a corda mágica para trazer seu amigo para um super abraço!,Toalha de rosto,Segura uma ponta da toalha com as duas mãos.,Remada Sentada com toalha.,"É um ""cabo de guerra do bem"". A cada puxada, a mãe diz ""Vem!"".",2 min,"Manter o tronco mais reto, com menos inclinação.",Inclinar mais o tronco para trás (costas retas).,✔️ Pequeno / ✔️ Grande
Mergulho do Pinguim,Ser um pinguim que mergulha na água gelada para pegar peixinhos!,Cadeira firme ou sofá,"Imita um pinguim andando e batendo as ""asas"".",Mergulho de tríceps no banco/cadeira.,"A cada ""mergulho"", a criança pega um ""peixinho"" imaginário.",2 min,Flexionar pouco os cotovelos (movimento curto).,Descer até os cotovelos formarem um ângulo de 90 graus.,✔️ Pequeno / ✔️ Grande
O Músculo do Super-Herói,Mostrar nosso super músculo para assustar o vilão!,Opcional: garrafinhas de água,"Imita a mãe, flexionando o cotovelo e mostrando o ""muque"".","Rosca Bíceps, de pé ou sentada.","Fazem caretas de ""fortões"". A cada 5 repetições, gritam ""Super Força!"".",2 min,"Fazer sem peso, com contração muscular.",Usar garrafinhas com água como peso.,✔️ Pequeno / ✔️ Grande
O Voo da Águia,Bater nossas asas como uma águia gigante voando sobre as montanhas!,Opcional: garrafinhas de água,"Imita o voo da águia, abrindo e fechando os braços.",Elevação Lateral para ombros.,"Ambos ""voam"" juntos, fazendo o som da águia.",2 min,"Fazer o movimento sem peso, cotovelos levemente flexionados.",Usar um peso leve (garrafinhas).,✔️ Pequeno / ✔️ Grande
Puxando o Tesouro,Puxar o baú do tesouro que está preso no fundo do navio pirata!,Cabo de vassoura,"Senta na frente da mãe e segura no meio do cabo, sendo ""puxada"".",Remada Curvada com cabo de vassoura.,"A cada puxada, a mãe diz ""Está quase vindo!"".",2 min,Fazer o movimento com pouca inclinação do tronco.,"Inclinar o tronco a 45 graus, com costas retas.",✔️ Pequeno / ✔️ Grande
Empurrando o Teto,Usar nossa força para empurrar o teto da caverna que está caindo!,Opcional: almofadas pequenas,Senta e empurra o ar (ou as almofadas) para cima.,Desenvolvimento de ombros sentado no chão.,"Contam juntos ""1, 2, 3... Empurra!"".",2 min,Fazer o movimento sem peso.,Usar almofadas ou garrafinhas como peso.,✔️ Pequeno / ✔️ Grande
Dança Congelada,Dançar com passos malucos e congelar como uma estátua quando a música parar!,Opcional: música,"Dança junto com a mãe, imitando os passos dela.",Lidera a dança com passos aeróbicos simples.,"Quando a música para, ambos congelam. O primeiro a se mexer perde.",2-3 min,Movimentos mais lentos.,Aumentar a velocidade dos passos de dança.,✔️ Pequeno / ✔️ Grande
Pula-Feijão,"Pular por cima dos ""saquinhos de feijão mágicos"" sem encostar neles!",Livros ou fitas no chão,Pula com os dois pés de um lado para o outro dos objetos.,Salto lateral com os dois pés (ou passo lateral rápido).,"Ambos pulam juntos sobre o mesmo ""feijão"" ou em ""feijões"" diferentes.",2 min,"Dar um passo largo por cima do objeto, sem saltar.",Saltar com os dois pés juntos de um lado para o outro.,✔️ Pequeno / ✔️ Grande
Siga o Mestre Veloz,Imitar todos os movimentos do mestre o mais rápido que puder!,Nenhum,Imita os movimentos da mãe.,"Faz uma sequência cardio: Corrida no lugar, Polichinelo sem salto, etc.","A mãe é o ""mestre"" e a criança o ""aprendiz"". Na rodada seguinte, trocam.",2-3 min,Fazer a sequência em ritmo de marcha.,Aumentar a velocidade da sequência.,✔️ Pequeno / ✔️ Grande
Esqui na Montanha,"Esquiar na neve, pulando de um lado para o outro para desviar das árvores!",Nenhum,"Imita o movimento de esquiar, saltando de um pé para o outro.",Salto de patinador (Skater jump).,"Ambos ""esquiam"" juntos, como se estivessem na mesma montanha.",2 min,Dar um passo largo para o lado em vez de saltar.,Saltar com mais amplitude e velocidade.,✔️ Pequeno / ✔️ Grande
Corre Mensageiro,Levar as cartas secretas para o outro lado do reino antes que o tempo acabe!,Dois objetos marcadores,Corre de um ponto ao outro.,Corrida vai-e-vem (shuttle run).,"Missão em equipe: um leva a carta, bate na mão do outro para o próximo ir.",2 min,Trote leve entre os pontos.,Corrida em velocidade (sprint).,❌ Pequeno / ✔️ Grande
Estátua de Gelo,Ficar duro como gelo e depois derreter completamente quando o sol aparece!,Tapete,Inspira puxando os ombros para cima e expira relaxando o corpo para frente.,"Guia o movimento, fazendo junto.",A mãe narra a transformação de gelo para água.,2 min,"Foco na percepção do movimento, sem forçar.","Tenta sentir cada parte do corpo ""derretendo"".",✔️ Pequeno / ✔️ Grande
Alongamento dos Animais,"Espreguiçar como os animais da floresta: gato, cachorro e tatu!",Tapete,Imita os animais junto com a mãe.,"Guia a sequência: Gato/Vaca, Cachorro Olhando para Baixo, Tatu-Bolinha.",Fazem os sons dos animais juntos a cada postura.,2-3 min,Fazer os movimentos com menor amplitude.,Segurar cada postura por 15 segundos.,✔️ Pequeno / ✔️ Grande
Borboleta Calma,"Ser uma borboleta que bate as asas bem devagar, descansando em uma flor.",Tapete,"Senta, junta a sola dos pés e balança os joelhos.","O mesmo movimento de ""borboleta"", sentindo alongar a virilha.","Cantam uma música suave enquanto ""batem as asas"".",2 min,Manter a postura sem balançar os joelhos.,Balançar os joelhos suavemente.,✔️ Pequeno / ✔️ Grande
Cobra e a Concha,Ser uma cobra que se estica para pegar sol e depois se esconde em sua concha.,Tapete,Imita os movimentos da mãe no seu próprio ritmo.,Sequência: Posição da Cobra e depois Posição da Criança.,"A mãe narra: ""Vamos virar uma cobra... agora, vamos nos esconder!"".",2 min,"Na ""Cobra"", manter os cotovelos flexionados.","Estender completamente os cotovelos na ""Cobra"".",✔️ Pequeno / ✔️ Grande
"Cheirar a Flor, Soprar a Vela",Cheirar a flor mais cheirosa e soprar a velinha do bolo bem devagar.,Nenhum,"Inspira pelo nariz (""cheira a flor"") e expira pela boca (""sopra a vela"").","O mesmo movimento, guiando a criança.","Sentados um de frente para o outro, de mãos dadas.",1-2 min,Fazer 3 a 4 respirações lentas.,Tentar fazer a expiração durar o dobro da inspiração.,✔️ Pequeno / ✔️ Grande
Abraço Final,Guardar toda a energia boa da nossa brincadeira no abraço mais forte de todos!,Nenhum,Dá um abraço apertado na mãe.,Abraça a criança com presença e carinho.,Permanecem abraçados com três respirações profundas.,1 min,Foco na conexão e no encerramento positivo.,Foco na conexão e no encerramento positivo.,✔️ Pequeno / ✔️ Grande